Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2023,0862130 CORP,BLM - Permit Fees,Mining Claims,"$114,300.00 "
2023,1237025 NEVADA INC,BLM - Permit Fees,Locatable Minerals,"$32,460.00 "
2023,1237025 NEVADA INC,BLM - Permit Fees,Mining Claims,"$70,455.00 "
2023,31 OFFSHORE LLC,ONRR - Other Revenues,N/a,"$2,180.00 "
2023,31 OFFSHORE LLC,ONRR - Other Revenues,Oil & Gas,"$157,798.15 "
2023,3PL OPERATING INC,BLM - Permit Fees,Mining Claims,"$290,985.00 "
2023,3R OPERATING LLC,ONRR - Royalties,Gas,"$56,497.10 "
2023,3R OPERATING LLC,ONRR - Royalties,Oil,"$116,569.26 "
2023,4TH GEN FUELS LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$105,888.34 "
2023,A U MINES INC,BLM - Permit Fees,Mining Claims,"$145,860.00 "
2023,A1 LITHIUM INC,BLM - Permit Fees,Mining Claims,"$189,255.00 "
2023,ABC SAND & ROCK,BLM - Permit Fees,Mineral Materials,"$383,247.20 "
2023,ADVANCE ENERGY PARTNERS,ONRR - Other Revenues,Oil & Gas,"$71,426.76 "
2023,ADVANCE ENERGY PARTNERS,ONRR - Royalties,Gas,"$414,555.78 "
2023,ADVANCE ENERGY PARTNERS,ONRR - Royalties,Oil,"$5,911,186.70 "
2023,ADVANCE ENERGY PARTNERS,ONRR/BLM - Rents,Oil & Gas,$640.00 
2023,ADVANCE WIRELESS COMMUNICATIONS II LLC,ONRR - Other Revenues,N/a,$679.00 
2023,ADVANCE WIRELESS COMMUNICATIONS II LLC,ONRR - Other Revenues,Oil & Gas,"$3,540.21 "
2023,ADVANCE WIRELESS COMMUNICATIONS II LLC,ONRR - Royalties,Gas,"$383,010.11 "
2023,ADVANCE WIRELESS COMMUNICATIONS II LLC,ONRR - Royalties,Oil,"$158,540.82 "
2023,AERA ENERGY LLC,BLM - Permit Fees,Oil & Gas,"$129,855.00 "
2023,AERA ENERGY LLC,ONRR - Other Revenues,Oil & Gas,"$3,366.00 "
2023,AERA ENERGY LLC,ONRR - Royalties,Gas,"$51,745.01 "
2023,AERA ENERGY LLC,ONRR - Royalties,Oil,"$11,023,000.27 "
2023,AERA ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,"$1,060.00 "
2023,AETHON ENERGY OPERATING LLC,ONRR - Other Revenues,Oil & Gas,"$294,734.49 "
2023,AETHON ENERGY OPERATING LLC,ONRR - Royalties,Gas,"$16,306,984.37 "
2023,AETHON ENERGY OPERATING LLC,ONRR - Royalties,Oil,"$804,587.40 "
2023,AETHON ENERGY OPERATING LLC,ONRR/BLM - Rents,Oil & Gas,"$133,297.50 "
2023,AGNICO-EAGLE USA LTD,BLM - Permit Fees,Locatable Minerals,"$105,930.00 "
2023,AGNICO-EAGLE USA LTD,BLM - Permit Fees,Mining Claims,"$92,730.00 "
2023,ALAMO-PALACE MP 59 LLC,ONRR - Royalties,Oil,"$798,162.80 "
2023,ALBEMARLE US INC,BLM - Permit Fees,Mining Claims,"$132,825.00 "
2023,ALCOA FUELS INC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$106,383.86 "
2023,ALLEGIANT GOLD US LTD,BLM - Permit Fees,Mining Claims,"$265,785.00 "
2023,ALMADEX AMERICA INC,BLM - Permit Fees,Mining Claims,"$220,450.00 "
2023,ALTAMONT ENERGY LLC,ONRR - Other Revenues,Oil & Gas,$121.00 
2023,ALTAMONT ENERGY LLC,ONRR - Royalties,Gas,"$5,792.45 "
2023,ALTAMONT ENERGY LLC,ONRR - Royalties,Oil,"$147,655.31 "
2023,ALTON COAL DEVELOPMENT LLC,ONRR - Other Revenues,Coal,$505.68 
2023,ALTON COAL DEVELOPMENT LLC,ONRR - Royalties,Coal,"$271,579.41 "
2023,ALTON COAL DEVELOPMENT LLC,ONRR/BLM - Bonus,Coal,"$2,464,000.00 "
2023,ALTON COAL DEVELOPMENT LLC,ONRR/BLM - Rents,Coal,"$6,327.00 "
2023,ALTON COAL DEVELOPMENT LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$30,196.72 "
2023,AMCA COAL LEASING INC,ONRR - Other Revenues,Coal,"$598,060.91 "
2023,AMEREDEV II LLC,ONRR - Other Revenues,Oil & Gas,"$637,940.76 "
2023,AMEREDEV II LLC,ONRR - Royalties,Gas,"$3,615,524.55 "
2023,AMEREDEV II LLC,ONRR - Royalties,Oil,"$34,293,326.32 "
2023,AMEREDEV II LLC,ONRR/BLM - Rents,Oil & Gas,"$11,092.00 "
2023,AMERICAN BATTERY TECHNOLOGY COMPANY,BLM - Permit Fees,Locatable Minerals,"$39,646.00 "
2023,AMERICAN BATTERY TECHNOLOGY COMPANY,BLM - Permit Fees,Mining Claims,"$87,945.00 "
2023,AMERICAN COLLOID CO,BLM - Permit Fees,Mining Claims,"$530,805.00 "
2023,AMERICAN CONSOLIDATED NATURAL RES INC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$2,715,492.57 "
2023,AMERICAN GILSONITE CO,ONRR - Other Revenues,Gilsonite,"$32,235.47 "
2023,AMERICAN GILSONITE CO,ONRR - Royalties,Gilsonite,"$1,690,400.22 "
2023,AMERICAN GILSONITE CO,ONRR/BLM - Rents,Gilsonite,"$1,245.50 "
2023,AMERICAN GOLD CAPITAL US INC,BLM - Permit Fees,Locatable Minerals,"$68,419.00 "
2023,AMERICAN GOLD CAPITAL US INC,BLM - Permit Fees,Mining Claims,"$88,275.00 "
2023,AMERICAN POTASH LLC,BLM - Permit Fees,Mining Claims,"$243,300.00 "
2023,AMERICAN POTASH LLC,BLM - Permit Fees,Other Leasable Minerals,"$4,727.00 "
2023,AMERICAN SODA LLC,ONRR - Other Revenues,Sodium,"$54,144.00 "
2023,AMERICAN SODA LLC,ONRR - Royalties,Soda Ash,"$551,960.51 "
2023,AMERICAN SODA LLC,ONRR - Royalties,Sodium,"$133,735.20 "
2023,AMERICAN SODA LLC,ONRR/BLM - Rents,Sodium,"$18,048.00 "
2023,AMPLIFY ENERGY CORP,ONRR - Other Revenues,Oil & Gas,"$9,071.97 "
2023,AMPLIFY ENERGY CORP,ONRR - Royalties,Gas,"$1,094,861.98 "
2023,AMPLIFY ENERGY CORP,ONRR - Royalties,Oil,"$6,515,583.70 "
2023,AMPLIFY ENERGY CORP,ONRR/BLM - Rents,Oil & Gas,"$3,720.50 "
2023,ANADARKO E&P ONSHORE LLC,BLM - Permit Fees,Oil & Gas,"$259,990.00 "
2023,ANCHOR CRUDE MARKETING LLC,ONRR - Royalties,Oil,"$129,424.90 "
2023,ANGLOGOLD ASHANTI NORTH AMERICA INC,BLM - Permit Fees,Mining Claims,"$519,255.00 "
2023,ANOVA METALS USA LLC,BLM - Permit Fees,Mining Claims,"$162,030.00 "
2023,ANSCHUTZ EXPLORATION CORP,BLM - Permit Fees,Oil & Gas,"$4,406,706.00 "
2023,ANTLER ENERGY LLC,BLM - Permit Fees,Oil & Gas,$230.00 
2023,ANTLER ENERGY LLC,ONRR - Other Revenues,Oil & Gas,"$147,807.28 "
2023,ANTLER ENERGY LLC,ONRR - Royalties,Gas,"$533,868.99 "
2023,ANTLER ENERGY LLC,ONRR - Royalties,Oil,"$6,256.85 "
2023,ANTLER ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,$68.00 
2023,APACHE CORP,ONRR - Other Revenues,N/a,$559.97 
2023,APACHE CORP,ONRR - Other Revenues,Oil,"$134,825.68 "
2023,APACHE CORP,ONRR - Other Revenues,Oil & Gas,"($97,306.40)"
2023,APACHE CORP,ONRR - Royalties,Gas,"$6,987,707.88 "
2023,APACHE CORP,ONRR - Royalties,Oil,"$39,503,637.48 "
2023,APACHE CORP,ONRR - Inspection Fees,N/a,"$3,596,465.00 "
2023,APACHE CORP,ONRR/BLM - Rents,Oil & Gas,"$17,495.10 "
2023,APACHE CORPORATION,BLM - Permit Fees,Oil & Gas,"$199,480.00 "
2023,APEX ENERGY LLC,ONRR - Other Revenues,Oil & Gas,$469.54 
2023,APEX ENERGY LLC,ONRR - Royalties,Gas,"$188,046.63 "
2023,APEX ENERGY LLC,ONRR - Royalties,Oil,"$44,863.00 "
2023,APPALACHIAN RES WEST VIRGINIA LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$117,038.44 "
2023,ARACOMA COAL CO LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$229,875.23 "
2023,ARB ENERGY UTAH LLC,ONRR - Other Revenues,Oil & Gas,"$13,732.11 "
2023,ARB ENERGY UTAH LLC,ONRR - Royalties,Gas,"$473,594.02 "
2023,ARB ENERGY UTAH LLC,ONRR - Royalties,Oil,"$2,195.62 "
2023,ARB ENERGY UTAH LLC,ONRR/BLM - Rents,Oil & Gas,"$8,355.00 "
2023,ARCH COAL INC,ONRR - Other Revenues,Coal,$131.14 
2023,ARCH COAL INC,ONRR - Royalties,Coal,"$108,940,286.50 "
2023,ARCH COAL INC,ONRR/BLM - Rents,Coal,"$143,628.00 "
2023,ARCH WESTERN RESOURCES LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$14,413,635.97 "
2023,ARENA ENERGY,ONRR - Other Revenues,Oil,"$191,353.45 "
2023,ARENA ENERGY,ONRR - Other Revenues,Oil & Gas,"($1,598,708.50)"
2023,ARENA ENERGY,ONRR - Royalties,Gas,"$6,656,308.52 "
2023,ARENA ENERGY,ONRR - Royalties,Oil,"$97,131,846.89 "
2023,ARENA ENERGY,ONRR - Civil Penalties,N/a,"$99,870.00 "
2023,ARENA ENERGY,ONRR - Inspection Fees,N/a,"$2,305,630.00 "
2023,ARENA ENERGY,ONRR/BLM - Bonus,Oil & Gas,"$1,104,738.00 "
2023,ARENA ENERGY,ONRR/BLM - Rents,Oil & Gas,"$1,201,187.03 "
2023,ARKOMA RESOURCES LLC,ONRR - Other Revenues,Oil & Gas,"$367,175.09 "
2023,ARKOMA RESOURCES LLC,ONRR - Royalties,Gas,"$5,346,367.38 "
2023,ARKOMA RESOURCES LLC,ONRR - Royalties,Oil,$209.27 
2023,ARM ENERGY MANAGEMENT LLC,ONRR - Other Revenues,Oil & Gas,$113.14 
2023,ARM ENERGY MANAGEMENT LLC,ONRR - Royalties,Oil,"$386,444.92 "
2023,ARMSTRONG CORP,ONRR - Other Revenues,Oil & Gas,$240.00 
2023,ARMSTRONG CORP,ONRR - Royalties,Gas,"$45,598.79 "
2023,ARMSTRONG CORP,ONRR - Royalties,Oil,"$348,875.78 "
2023,ARMSTRONG CORP,ONRR/BLM - Rents,Oil & Gas,"$10,128.00 "
2023,ARNELL OIL CO,ONRR - Royalties,Oil,"$282,653.64 "
2023,ASARCO LLC,BLM - Permit Fees,Mining Claims,"$306,570.00 "
2023,ASH GROVE CEMENT CO,BLM - Permit Fees,Mineral Materials,"$53,929.36 "
2023,ASH GROVE CEMENT CO,BLM - Permit Fees,Mining Claims,"$91,430.00 "
2023,ASPECT HOLDINGS LLC,ONRR/BLM - Rents,Geothermal,"$112,776.00 "
2023,ATLANTIC SHORES OFFSHORE WIND BIGHT LLC,ONRR/BLM - Rents,Wind,"$238,053.00 "
2023,ATLANTIC SHORES OFFSHORE WIND LLC,ONRR/BLM - Rents,Wind,"$549,759.00 "
2023,ATTENTIVE ENERGY LLC,ONRR/BLM - Rents,Wind,"$252,996.00 "
2023,ATX ENERGY PARTNERS,ONRR - Royalties,Oil,"$62,113.03 "
2023,ATX ENERGY PARTNERS,ONRR/BLM - Rents,Oil & Gas,"$70,821.00 "
2023,AUTHIUM LLC,BLM - Permit Fees,Mining Claims,"$153,285.00 "
2023,AVANGRID RENEWABLES LLC,ONRR/BLM - Rents,Wind,"$1,044,091.00 "
2023,AVANT OPERATING LLC,BLM - Permit Fees,Oil & Gas,"$1,271,505.00 "
2023,AVANT OPERATING LLC,ONRR - Other Revenues,Oil & Gas,"$4,853,432.27 "
2023,AVANT OPERATING LLC,ONRR - Royalties,Gas,"$1,100,963.99 "
2023,AVANT OPERATING LLC,ONRR - Royalties,Oil,"$17,706,720.63 "
2023,AXIA ENERGY III LLC,BLM - Permit Fees,Oil & Gas,"$101,475.00 "
2023,AXIA ENERGY III LLC,ONRR - Other Revenues,Oil & Gas,"$1,123.26 "
2023,AXIA ENERGY III LLC,ONRR - Royalties,Gas,"$12,578.30 "
2023,AXIA ENERGY III LLC,ONRR - Royalties,Oil,"$208,748.81 "
2023,AXIA ENERGY III LLC,ONRR/BLM - Rents,Oil & Gas,"$36,444.50 "
2023,B & M MATERIALS LLC,BLM - Permit Fees,Mineral Materials,"$183,651.00 "
2023,B & W RESOURCES INC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$176,539.00 "
2023,BALLARD PETROLEUM HOLDINGS LLC,BLM - Permit Fees,Oil & Gas,"$137,950.00 "
2023,BALLARD PETROLEUM HOLDINGS LLC,ONRR - Other Revenues,Oil & Gas,"($1,151.70)"
2023,BALLARD PETROLEUM HOLDINGS LLC,ONRR - Royalties,Gas,"$1,801,754.61 "
2023,BALLARD PETROLEUM HOLDINGS LLC,ONRR - Royalties,Oil,"$13,024,359.78 "
2023,BALLARD PETROLEUM HOLDINGS LLC,ONRR/BLM - Rents,Oil & Gas,"$3,472.00 "
2023,BAM PERMIAN OPERATING LLC,BLM - Permit Fees,Oil & Gas,$230.00 
